  In (24,22), the ground is expected to be light grey, but it is white.
  In (24,26), the ground is expected to be light grey, but it is white.
  In (24,29), the ground is expected to be light grey, but it is white.
  In (24,33), the ground is expected to be light grey, but it is white.
  In (24,36), the ground is expected to be light grey, but it is white.
  In (24,38), the ground is expected to be white, but it is light grey.
  In (24,42), the ground is expected to be white, but it is light grey.
  In (24,43), the ground is expected to be light grey, but it is white.
  In (24,47), the ground is expected to be light grey, but it is white.
  In (24,49), the ground is expected to be white, but it is light grey.
  In (24,50), the ground is expected to be light grey, but it is white.
  In (24,51), the ground is expected to be white, but it is light grey.
  In (24,56), the ground is expected to be white, but it is light grey.
  In (24,57), the ground is expected to be light grey, but it is white.
  In (24,61), the ground is expected to be light grey, but it is white.
  In (25,0), the ground is expected to be light grey, but it is white.
  In (25,1), the ground is expected to be white, but it is light grey.
  In (25,3), the ground is expected to be white, but it is light grey.
  In (25,6), the ground is expected to be light grey, but it is white.
  In (25,7), the ground is expected to be light grey, but it is white.
  In (25,13), the ground is expected to be light grey, but it is white.
  In (25,14), the ground is expected to be light grey, but it is white.
  In (25,20), the ground is expected to be light grey, but it is white.
  In (25,21), the ground is expected to be light grey, but it is white.
  In (25,27), the ground is expected to be light grey, but it is white.
  In (25,28), the ground is expected to be light grey, but it is white.
  In (25,34), the ground is expected to be light grey, but it is white.
  In (25,35), the ground is expected to be light grey, but it is white.
  In (25,39), the ground is expected to be white, but it is light grey.
  In (25,42), the ground is expected to be light grey, but it is white.
  In (25,49), the ground is expected to be light grey, but it is white.
  In (25,50), the ground is expected to be white, but it is light grey.
  In (25,52), the ground is expected to be white, but it is light grey.
  In (25,53), the ground is expected to be white, but it is light grey.
  In (25,56), the ground is expected to be light grey, but it is white.
  In (25,57), the ground is expected to be white, but it is light grey.
  In (25,62), the ground is expected to be light grey, but it is white.
  In (26,0), the ground is expected to be white, but it is light grey.
  In (26,2), the ground is expected to be white, but it is light grey.
  In (26,3), the ground is expected to be light grey, but it is white.
  In (26,4), the ground is expected to be white, but it is light grey.
  In (26,10), the ground is expected to be light grey, but it is white.
  In (26,17), the ground is expected to be light grey, but it is white.
  In (26,24), the ground is expected to be light grey, but it is white.
  In (26,31), the ground is expected to be light grey, but it is white.
  In (26,38), the ground is expected to be light grey, but it is white.
  In (26,39), the ground is expected to be white, but it is light grey.
  In (26,41), the ground is expected to be white, but it is light grey.
  In (26,45), the ground is expected to be light grey, but it is white.
  In (26,49), the ground is expected to be white, but it is light grey.
  In (26,51), the ground is expected to be white, but it is light grey.
  In (26,52), the ground is expected to be light grey, but it is white.
  In (26,54), the ground is expected to be white, but it is light grey.
  In (26,56), the ground is expected to be white, but it is light grey.
  In (26,59), the ground is expected to be light grey, but it is white.
  In (27,1), the ground is expected to be white, but it is light grey.
  In (27,2), the ground is expected to be light grey, but it is white.
